,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
0,Graduation,Single,58138,58,635,88,546,172,88
1,Graduation,Single,46344,38,11,1,6,2,1
2,Graduation,Together,71613,26,426,49,127,111,21
3,Graduation,Together,26646,26,11,4,20,10,3
4,PhD,Married,58293,94,173,43,118,46,27
5,Master,Together,62513,16,520,42,98,0,42
6,Graduation,Divorced,55635,34,235,65,164,50,49
7,PhD,Married,33454,32,76,10,56,3,1
8,PhD,Together,30351,19,14,0,24,3,3
9,PhD,Together,5648,68,28,0,6,1,1
11,Basic,Married,7500,59,6,16,11,11,1
12,Graduation,Divorced,63033,82,194,61,480,225,112
13,Master,Divorced,59354,53,233,2,53,3,5
14,Graduation,Married,17323,38,3,14,17,6,1
15,PhD,Single,82800,23,1006,22,115,59,68
16,Graduation,Married,41850,51,53,5,19,2,13
17,Graduation,Together,37760,20,84,5,38,150,12
18,Master,Married,76995,91,1012,80,498,0,16
20,Graduation,Married,37040,41,86,2,73,69,38
21,Graduation,Married,2447,42,1,1,1725,1,1
22,PhD,Married,58607,63,867,0,86,0,0
23,PhD,Married,65324,0,384,0,102,21,32
24,Graduation,Together,40689,69,270,3,27,39,6
25,Graduation,Single,18589,89,6,4,25,15,12
26,Graduation,Married,53359,4,173,4,30,3,6
28,Graduation,Married,38360,26,36,2,42,20,21
29,PhD,Married,84618,96,684,100,801,21,66
30,Master,Divorced,10979,34,8,4,10,2,2
31,Master,Together,38620,56,112,17,44,34,22
32,Graduation,Together,40548,31,110,0,5,2,0
33,PhD,Divorced,46610,8,96,12,96,33,22
34,Master,Married,68657,4,482,34,471,119,68
35,Master,Single,49389,55,40,0,19,2,1
36,PhD,Married,67353,37,702,17,151,0,8
38,Graduation,Widow,42429,99,55,0,6,2,0
39,PhD,Divorced,48948,53,437,8,206,160,49
40,Graduation,Married,80011,3,421,76,536,82,178
41,Master,Married,20559,88,13,1,29,3,0
42,Graduation,Together,21994,4,9,0,6,3,1
44,Master,Married,7500,19,3,1,10,3,2
45,Graduation,Single,79941,72,123,164,266,227,30
47,Graduation,Together,41728,92,13,6,15,3,5
49,PhD,Married,72550,39,826,50,317,50,38
50,Graduation,Widow,65486,29,245,19,125,37,67
51,Master,Married,79143,2,650,37,780,27,167
52,Graduation,Single,35790,54,12,6,20,30,1
53,Graduation,Divorced,82582,54,510,120,550,156,40
54,Graduation,Married,66373,57,328,9,124,12,24
55,Master,Together,82384,55,984,51,432,180,120
56,Graduation,Divorced,70287,30,295,35,482,121,120
57,Graduation,Single,27938,31,13,0,8,2,1
59,PhD,Married,55954,63,447,0,28,0,0
60,Master,Single,75777,12,712,26,538,69,13
61,Graduation,Together,66653,18,452,18,102,16,18
62,Graduation,Single,61823,26,523,7,134,37,14
63,PhD,Widow,67680,8,546,0,48,0,6
64,Graduation,Together,70666,29,398,40,367,119,122
65,Graduation,Married,25721,75,1,3,6,3,6
66,Graduation,Together,32474,0,10,0,1,0,0
68,Graduation,Together,69096,4,247,49,159,7,82
69,Graduation,Together,74854,90,856,59,487,58,29
70,Master,Married,66991,1,496,36,460,189,60
72,Graduation,Married,65031,29,258,107,291,84,37
73,PhD,Married,60631,88,565,6,65,0,6
74,Graduation,Married,28332,58,14,10,13,4,15
75,Graduation,Divorced,40246,68,2,1,6,2,1
76,Master,Married,75251,34,721,111,925,97,18
77,Graduation,Single,75825,40,1032,105,779,137,105
79,Graduation,Together,56046,9,577,0,64,0,0
80,Graduation,Single,29760,87,64,4,68,7,5
81,Graduation,Married,26304,5,4,1,5,2,0
83,Master,Together,38620,56,112,17,44,34,22
84,Graduation,Divorced,81361,18,163,23,424,27,65
85,Graduation,Married,29440,95,17,8,14,10,4
86,Master,Married,36138,48,130,0,16,0,0
87,Graduation,Single,50388,3,292,6,37,0,3
88,Graduation,Married,79593,70,350,60,568,110,133
89,Graduation,Together,54178,79,135,9,39,4,0
93,Master,Single,42394,69,15,2,10,0,1
94,PhD,Married,23626,84,27,2,14,0,0
95,Graduation,Married,30096,30,5,3,11,12,5
96,Graduation,Widow,47916,72,505,0,26,0,0
97,Graduation,Divorced,51813,37,51,2,7,0,1
99,PhD,Married,50150,32,135,46,92,65,61
101,PhD,Single,34554,43,41,1,6,2,0
102,Graduation,Together,85693,59,386,172,183,185,132
103,PhD,Married,65846,68,562,81,276,80,40
104,Graduation,Married,87195,35,217,76,690,50,26
105,Basic,Together,24594,94,1,3,6,10,0
106,Graduation,Married,49096,15,144,1,32,2,1
107,Graduation,Married,52413,56,295,106,271,75,98
108,Graduation,Single,38557,17,76,3,31,4,4
109,Master,Married,89058,18,454,194,106,31,22
110,Graduation,Together,77298,46,425,115,292,23,35
111,PhD,Single,68126,40,1332,17,311,23,51
112,Master,Together,57288,27,527,0,21,0,0
113,Graduation,Single,86037,95,490,44,125,29,20
114,PhD,Married,43974,19,378,0,101,0,0
115,Graduation,Single,50785,27,64,1,21,0,1
116,Graduation,Married,90765,25,547,99,812,151,82
119,Graduation,Together,21918,37,1,6,7,11,5
120,Master,Together,56129,65,320,48,133,39,72
121,Master,Single,32557,13,34,3,29,0,4
122,Master,Married,19510,63,9,0,7,3,4
123,Graduation,Divorced,30992,83,17,0,14,7,3
124,Graduation,Single,101970,69,722,27,102,44,72
126,Graduation,Single,79607,37,450,133,951,173,0
127,Master,Married,54348,51,70,0,16,0,0
129,PhD,Together,77376,72,492,19,110,16,12
130,Graduation,Married,62998,10,120,58,73,65,89
131,Master,Alone,61331,42,534,5,47,0,5
132,Graduation,Married,73448,10,236,106,189,23,41
134,PhD,Married,41551,51,220,0,33,3,0
135,PhD,Together,62981,21,796,14,590,38,44
136,Basic,Divorced,9548,31,0,1,3,10,6
137,PhD,Married,33762,61,53,1,34,2,0
138,PhD,Alone,35860,37,15,0,8,4,2
139,PhD,Divorced,36921,74,17,1,12,3,1
140,Master,Single,92859,46,962,61,921,52,61
